,phrase,label,sentiment,subjectivity,language,count
200 Jahre später,200 Jahre später,MISC,,,de,1.0
"Link
Winterzeit","Link
Winterzeit",MISC,,,de,1.0
Naturkatastrophen“,Naturkatastrophen“,MISC,,,de,1.0
repari…,repari…,MISC,,,de,1.0
Kräftiger Wind,Kräftiger Wind,MISC,,,de,1.0
Das Bundesamt für Seeschifffahrt und Hydrographie,Das Bundesamt für Seeschifffahrt und Hydrographie,MISC,,,de,1.0
Kiel/Rostock,Kiel/Rostock,MISC,,,de,1.0
Ostseeküste“,Ostseeküste“,MISC,,,de,1.0
Sturm auf der Ostsee“,Sturm auf der Ostsee“,MISC,,,de,1.0
Wa…,Wa…,MISC,,,de,1.0
Special: Wissenschaft,Special: Wissenschaft,MISC,,,de,1.0
schleswig-holsteinischen,schleswig-holsteinischen,MISC,,,de,1.0
Fährv…,Fährv…,MISC,,,de,1.0
Fährausfälle,Fährausfälle,MISC,0.0,0.0,de,1.0
Sturm über Norddeutschland“,Sturm über Norddeutschland“,MISC,,,de,1.0
Hochwasser“,Hochwasser“,MISC,,,de,1.0
Weihnachten,Weihnachten,MISC,,,de,1.0
Küstenschut…,Küstenschut…,MISC,,,de,1.0
Küstenschutz“,Küstenschutz“,MISC,,,de,1.0
Wintersturmflut,Wintersturmflut,MISC,,,de,1.0
Erste Wintersturmflut,Erste Wintersturmflut,MISC,,,de,1.0
"Link
Wind","Link
Wind",MISC,,,de,1.0
Touri-Hotspot,Touri-Hotspot,MISC,,,de,1.0
Ostseesturmflut 2023,Ostseesturmflut 2023,MISC,,,de,1.0
Fasziniert schauen die Kinder auf den großen Bagger,Fasziniert schauen die Kinder auf den großen Bagger,MISC,,,de,1.0
Das Wasser,Das Wasser,MISC,,,de,1.0
Abschied von den Toten,Abschied von den Toten,MISC,,,de,1.0
Elbe f…,Elbe f…,MISC,,,de,1.0
Witterung,Witterung,MISC,,,de,1.0
Die angekündigte Sturmflut,Die angekündigte Sturmflut,MISC,,,de,1.0
Ein Sturmtief,Ein Sturmtief,MISC,,,de,1.0
Hannover/Hamburg/Kiel/Schwerin,Hannover/Hamburg/Kiel/Schwerin,MISC,,,de,1.0
Stürme machten am Samstag,Stürme machten am Samstag,MISC,,,de,1.0
deutscher,deutscher,MISC,,,de,1.0
Die deutsche Nordseeküste,Die deutsche Nordseeküste,MISC,,,de,1.0
Die Sturmfluten am Wochenende,Die Sturmfluten am Wochenende,MISC,,,de,1.0
Zu…,Zu…,MISC,,,de,1.0
Zahl der Toten,Zahl der Toten,MISC,,,de,1.0
texanischen,texanischen,MISC,,,de,1.0
Sonne lacht,Sonne lacht,MISC,,,de,1.0
Schweizer,Schweizer,MISC,,,de,1.0
Business,Business,MISC,,,de,1.0
Wer hier Urlaub,Wer hier Urlaub,MISC,,,de,1.0
Internet,Internet,MISC,,,de,1.0
Deutscher,Deutscher,MISC,,,de,1.0
vorbe­reiten,vorbe­reiten,MISC,,,de,1.0
Deutsch­land,Deutsch­land,MISC,,,de,1.0
Inter­netportal,Inter­netportal,MISC,,,de,1.0
Norddeutsc…,Norddeutsc…,MISC,,,de,1.0
Treibgas-Ausstoß,Treibgas-Ausstoß,MISC,,,de,1.0
Sommersturmflut,Sommersturmflut,MISC,,,de,1.0
Trend“,Trend“,MISC,,,de,1.0
s…,s…,MISC,,,de,1.0
